NODES_1;U1_1;U2_1;U3_1;R1_2;R2_2;R3_2;U1_2;U2_2;U3_2;R1_2;R2_2;R3_2;U1_3;U2_3;U3_3;R1_3;R2_3;R3_3;U1_4;U2_4;U3_4;R1_4;R2_4;R3_4;U1_5;U2_5;U3_5;R1_5;R2_5;R3_5
171;0,000359115;-0,00017591;5,55E-05;1,08E-06;2,41E-06;1,56E-06;0,000359115;-0,00017591;5,55E-05;1,08E-06;2,41E-06;1,56E-06;0,000300436;-0,001775467;0,000109444;5,23E-05;4,07E-06;2,47E-05;0,000643708;-0,001660119;-5,64E-05;-9,99E-05;-2,79E-06;2,49E-05;0,001303986;-0,003636346;-1,22E-06;-6,09E-05;-1,78E-06;5,94E-05
172;0,000362479;-0,000166292;4,92E-05;1,51E-06;2,68E-06;5,42E-06;0,000362479;-0,000166292;4,92E-05;1,51E-06;2,68E-06;5,42E-06;0,000300376;-0,001652868;9,53E-05;4,71E-05;7,83E-06;6,37E-05;0,000647147;-0,001546764;-4,80E-05;-9,33E-05;-5,71E-06;5,63E-05;0,001309862;-0,003386939;1,16E-06;-5,96E-05;-1,40E-06;0,000144162
173;0,000368223;-0,000127793;4,08E-05;1,83E-06;3,32E-06;1,47E-05;0,000368223;-0,000127793;4,08E-05;1,83E-06;3,32E-06;1,47E-05;0,000310301;-0,001336734;8,24E-05;3,53E-05;7,10E-06;0,000101013;0,000660392;-0,001251843;-3,35E-05;-7,66E-05;-1,01E-05;9,74E-05;0,001337801;-0,002732826;1,48E-05;-5,21E-05;-8,28E-06;0,000242909
174;0,000368894;-8,16E-05;3,56E-05;1,07E-06;2,74E-06;2,30E-05;0,000368894;-8,16E-05;3,56E-05;1,07E-06;2,74E-06;2,30E-05;0,000312156;-0,001063964;7,67E-05;2,66E-05;3,35E-06;0,000122383;0,000662685;-0,000984217;-2,01E-05;-6,33E-05;-4,57E-06;0,000121984;0,001342263;-0,002145745;3,10E-05;-4,40E-05;-5,48E-06;0,000303142
175;0,000372668;-1,67E-05;2,89E-05;-2,52E-07;3,53E-06;1,96E-05;0,000372668;-1,67E-05;2,89E-05;-2,52E-07;3,53E-06;1,96E-05;0,000320839;-0,000693061;6,79E-05;1,73E-05;5,70E-06;0,000122285;0,000670865;-0,000611692;-3,31E-06;-4,31E-05;-3,46E-06;0,000123452;0,001361648;-0,001338707;5,05E-05;-2,79E-05;-1,38E-06;0,000300768
176;0,000377211;1,26E-05;2,20E-05;-1,61E-06;6,15E-06;6,49E-06;0,000377211;1,26E-05;2,20E-05;-1,61E-06;6,15E-06;6,49E-06;0,000327092;-0,000425258;5,45E-05;6,84E-06;1,62E-05;0,00012023;0,000680597;-0,000360373;6,63E-06;-2,90E-05;-5,66E-06;0,000102964;0,00138124;-0,000790629;5,52E-05;-2,28E-05;9,11E-06;0,000261054
177;0,000102158;-0,000417989;3,37E-05;1,29E-05;-8,17E-06;-0,000112774;0,000102158;-0,000417989;3,37E-05;1,29E-05;-8,17E-06;-0,000112774;4,51E-05;8,12E-06;1,38E-05;-9,06E-08;-2,35E-06;-4,65E-06;0,000150062;-0,000412769;3,85E-05;1,28E-05;-8,56E-06;-0,000119556;0,000298137;-0,000798945;7,49E-05;-1,45E-05;-8,53E-06;-0,000259292
178;0,000107465;-0,000675278;3,48E-05;2,27E-05;-3,04E-07;-0,00011868;0,000107465;-0,000675278;3,48E-05;2,27E-05;-3,04E-07;-0,00011868;4,89E-05;-1,79E-05;1,68E-05;2,67E-07;-1,49E-06;-1,84E-05;0,000159581;-0,000700236;3,68E-05;2,29E-05;7,91E-07;-0,000138648;0,00031757;-0,001353947;7,71E-05;-1,70E-05;-1,62E-06;-0,000306452
179;0,000113146;-0,001033247;3,15E-05;3,05E-05;7,47E-07;-0,000117456;0,000113146;-0,001033247;3,15E-05;3,05E-05;7,47E-07;-0,000117456;5,13E-05;-7,95E-05;2,05E-05;-6,72E-08;-1,47E-06;-2,19E-05;0,000168563;-0,001124141;2,71E-05;3,04E-05;2,52E-06;-0,0001407;0,000334643;-0,002174524;6,97E-05;-2,66E-05;1,35E-06;-0,000307501
180;0,00011449;-0,001295181;2,97E-05;3,72E-05;-2,63E-06;-9,80E-05;0,00011449;-0,001295181;2,97E-05;3,72E-05;-2,63E-06;-9,80E-05;5,15E-05;-0,000123747;2,42E-05;-5,28E-07;-1,49E-06;-1,43E-05;0,000170765;-0,001433218;1,93E-05;3,68E-05;-8,33E-07;-0,000113355;0,000339666;-0,002768134;6,22E-05;-3,17E-05;3,31E-06;-0,000246948
181;0,000122923;-0,001600346;3,06E-05;4,76E-05;-3,43E-06;-6,07E-05;0,000122923;-0,001600346;3,06E-05;4,76E-05;-3,43E-06;-6,07E-05;5,64E-05;-0,00016204;3,17E-05;-1,19E-06;-1,81E-06;-5,72E-06;0,000185214;-0,001779974;9,41E-06;4,67E-05;-1,15E-06;-6,70E-05;0,000368755;-0,003429306;5,64E-05;-3,74E-05;-9,92E-08;-0,000143751
182;0,000122419;-0,001718318;3,54E-05;5,26E-05;-1,12E-06;-2,40E-05;0,000122419;-0,001718318;3,54E-05;5,26E-05;-1,12E-06;-2,40E-05;5,90E-05;-0,000172457;3,79E-05;-1,32E-06;-2,23E-06;-1,80E-06;0,000188044;-0,001909438;5,86E-06;5,16E-05;1,71E-06;-2,60E-05;0,000375612;-0,003677964;5,61E-05;-3,93E-05;5,01E-07;-5,84E-05
183;0,000129076;-0,001775022;3,89E-05;5,23E-05;-8,29E-07;-1,40E-05;0,000129076;-0,001775022;3,89E-05;5,23E-05;-8,29E-07;-1,40E-05;6,40E-05;-0,00017897;4,54E-05;-1,08E-06;-2,43E-06;-2,60E-06;0,000200414;-0,001972793;-1,07E-06;5,11E-05;2,33E-06;-1,66E-05;0,000399918;-0,003801391;5,33E-05;-3,90E-05;1,52E-06;-3,57E-05
184;0,000141827;-0,001832102;4,14E-05;5,25E-05;-1,00E-06;-2,41E-05;0,000141827;-0,001832102;4,14E-05;5,25E-05;-1,00E-06;-2,41E-05;7,10E-05;-0,000194372;5,35E-05;-6,83E-07;-2,66E-06;-7,68E-06;0,000220652;-0,002044663;-9,58E-06;5,04E-05;2,28E-06;-3,14E-05;0,00043984;-0,003934996;4,61E-05;-4,82E-05;1,35E-06;-6,56E-05
185;0,00015521;-0,001911872;4,42E-05;5,41E-05;-3,10E-06;-3,62E-05;0,00015521;-0,001911872;4,42E-05;5,41E-05;-3,10E-06;-3,62E-05;7,83E-05;-0,000224924;6,15E-05;2,00E-07;-3,20E-06;-1,57E-05;0,000241469;-0,002152991;-1,66E-05;5,04E-05;6,11E-07;-5,07E-05;0,000481923;-0,004139176;4,03E-05;-5,21E-05;4,41E-07;-0,000110912
186;0,000166458;-0,001997025;4,82E-05;5,51E-05;1,24E-06;-8,10E-06;0,000166458;-0,001997025;4,82E-05;5,51E-05;1,24E-06;-8,10E-06;8,75E-05;-0,000296639;7,19E-05;2,46E-06;-3,24E-06;-2,16E-05;0,000262182;-0,002303867;-2,67E-05;4,73E-05;5,45E-06;-2,78E-05;0,000523614;-0,004438539;3,34E-05;-5,94E-05;5,09E-06;-6,59E-05
187;0,000176789;-0,002015255;5,14E-05;5,41E-05;-8,14E-07;-6,46E-06;0,000176789;-0,002015255;5,14E-05;5,41E-05;-8,14E-07;-6,46E-06;9,38E-05;-0,00035613;7,88E-05;4,36E-06;-2,50E-06;-2,37E-05;0,000278854;-0,002375869;-3,31E-05;4,29E-05;2,38E-06;-2,78E-05;0,000557466;-0,004592801;2,97E-05;-6,51E-05;1,62E-06;-6,85E-05
188;0,000189062;-0,002040081;5,59E-05;5,49E-05;-1,01E-06;-9,89E-06;0,000189062;-0,002040081;5,59E-05;5,49E-05;-1,01E-06;-9,89E-06;0,000102034;-0,000432681;8,68E-05;6,96E-06;-2,49E-06;-2,69E-05;0,000299379;-0,002469512;-3,95E-05;3,90E-05;2,13E-06;-3,41E-05;0,000597967;-0,004789121;2,61E-05;-6,55E-05;1,26E-06;-7,87E-05
189;0,000198102;-0,002058568;5,95E-05;5,42E-05;-5,94E-07;-1,86E-06;0,000198102;-0,002058568;5,95E-05;5,42E-05;-5,94E-07;-1,86E-06;0,000110746;-0,000519307;9,51E-05;9,96E-06;-2,58E-06;-3,04E-05;0,000317095;-0,002565804;-4,65E-05;3,31E-05;2,44E-06;-2,91E-05;0,000633117;-0,004982376;2,01E-05;-7,49E-05;1,64E-06;-6,55E-05
190;0,000201913;-0,002028182;6,02E-05;5,02E-05;2,47E-06;2,43E-05;0,000201913;-0,002028182;6,02E-05;5,02E-05;2,47E-06;2,43E-05;0,000118721;-0,000609537;0,000103582;1,33E-05;-3,76E-06;-3,36E-05;0,000328718;-0,002615862;-5,57E-05;2,36E-05;7,15E-06;-5,48E-06;0,000658042;-0,005090771;1,36E-05;-8,03E-05;4,63E-06;-2,04E-05
191;0,000214124;-0,001926857;6,41E-05;4,40E-05;2,42E-07;2,81E-05;0,000214124;-0,001926857;6,41E-05;4,40E-05;2,42E-07;2,81E-05;0,00012993;-0,000745693;0,00011357;1,83E-05;-3,26E-06;-3,76E-05;0,000351748;-0,002635051;-6,40E-05;8,83E-06;5,12E-06;-5,12E-06;0,000704591;-0,0051577;6,66E-06;-8,59E-05;1,70E-06;-2,05E-05
192;0,000225167;-0,001861142;6,68E-05;4,15E-05;-9,63E-07;2,60E-05;0,000225167;-0,001861142;6,68E-05;4,15E-05;-9,63E-07;2,60E-05;0,000136171;-0,000841121;0,000119342;2,20E-05;-1,90E-06;-4,12E-05;0,00036901;-0,002653977;-6,77E-05;4,58E-07;1,29E-06;-1,07E-05;0,000739161;-0,005216587;4,02E-06;-8,97E-05;1,04E-06;-3,47E-05
193;0,000235739;-0,001770721;7,06E-05;3,95E-05;-7,75E-07;3,43E-05;0,000235739;-0,001770721;7,06E-05;3,95E-05;-7,75E-07;3,43E-05;0,000144706;-0,00097972;0,00012584;2,72E-05;-1,50E-06;-5,05E-05;0,000387977;-0,002686625;-7,09E-05;-9,77E-06;1,43E-06;-1,04E-05;0,000775938;-0,005305063;7,16E-07;-8,98E-05;1,56E-06;-3,09E-05
194;0,000237526;-0,001662877;7,23E-05;3,67E-05;1,86E-06;6,41E-05;0,000237526;-0,001662877;7,23E-05;3,67E-05;1,86E-06;6,41E-05;0,000152378;-0,001106312;0,000129453;3,04E-05;-2,03E-06;-6,41E-05;0,000396903;-0,00268896;-7,50E-05;-2,08E-05;8,50E-06;9,21E-06;0,000795663;-0,005335483;-3,45E-06;-9,03E-05;4,05E-06;7,78E-07
195;0,000249284;-0,001381612;7,77E-05;3,05E-05;1,19E-07;8,18E-05;0,000249284;-0,001381612;7,77E-05;3,05E-05;1,19E-07;8,18E-05;0,000164613;-0,00138863;0,000133616;3,44E-05;-1,76E-06;-8,22E-05;0,000420227;-0,002644924;-7,89E-05;-4,64E-05;8,27E-06;1,34E-05;0,000842737;-0,005333963;-1,04E-05;-9,43E-05;9,98E-07;1,62E-07
196;0,00026137;-0,00110051;8,26E-05;2,72E-05;2,59E-07;6,38E-05;0,00026137;-0,00110051;8,26E-05;2,72E-05;2,59E-07;6,38E-05;0,000176604;-0,001671445;0,000136868;4,13E-05;-3,35E-06;-6,46E-05;0,000443259;-0,002601894;-8,01E-05;-6,88E-05;5,46E-06;8,65E-06;0,000889775;-0,005334464;-1,29E-05;-9,12E-05;-2,08E-06;-5,01E-07
197;0,000269007;-0,000973994;8,44E-05;2,44E-05;-5,00E-07;5,02E-05;0,000269007;-0,000973994;8,44E-05;2,44E-05;-5,00E-07;5,02E-05;0,000178532;-0,001780493;0,000139805;4,45E-05;-8,11E-07;-3,45E-05;0,000453733;-0,002573631;-8,17E-05;-7,95E-05;4,73E-07;1,67E-05;0,000909548;-0,005303304;-1,42E-05;-9,11E-05;6,19E-07;3,12E-05
198;0,000277512;-0,000836296;8,54E-05;1,98E-05;-1,02E-07;4,09E-05;0,000277512;-0,000836296;8,54E-05;1,98E-05;-1,02E-07;4,09E-05;0,00018941;-0,001871695;0,000142037;4,70E-05;-4,17E-07;-2,63E-05;0,00047092;-0,002518167;-8,32E-05;-8,99E-05;4,53E-07;1,97E-05;0,000946221;-0,005214212;-1,81E-05;-9,17E-05;1,01E-06;3,48E-05
199;0,000283762;-0,00074196;8,56E-05;1,66E-05;1,47E-06;3,73E-05;0,000283762;-0,00074196;8,56E-05;1,66E-05;1,47E-06;3,73E-05;0,000200697;-0,001937998;0,000143389;4,99E-05;-1,19E-06;-2,85E-05;0,000487637;-0,002478779;-8,46E-05;-9,50E-05;3,28E-06;1,27E-05;0,000980532;-0,005155467;-2,08E-05;-8,84E-05;-2,68E-08;2,04E-05
200;0,000295057;-0,000606913;8,47E-05;1,24E-05;2,08E-06;3,33E-05;0,000295057;-0,000606913;8,47E-05;1,24E-05;2,08E-06;3,33E-05;0,000213357;-0,002040708;0,000145109;5,68E-05;-3,05E-06;-2,46E-05;0,000510322;-0,002431719;-8,52E-05;-0,000105052;2,24E-06;1,23E-05;0,001026793;-0,005088597;-2,16E-05;-8,37E-05;-3,26E-06;2,04E-05
201;0,00030308;-0,000517149;8,26E-05;9,55E-06;7,65E-07;3,01E-05;0,00030308;-0,000517149;8,26E-05;9,55E-06;7,65E-07;3,01E-05;0,000217414;-0,002071612;0,000147608;6,10E-05;-6,18E-09;1,87E-06;0,000523155;-0,002373966;-8,64E-05;-0,000109779;4,12E-08;2,82E-05;0,001051621;-0,004979423;-2,03E-05;-7,88E-05;-1,77E-07;6,58E-05
202;0,000311947;-0,000431318;8,10E-05;7,06E-06;7,98E-07;2,66E-05;0,000311947;-0,000431318;8,10E-05;7,06E-06;7,98E-07;2,66E-05;0,000226916;-0,002053111;0,00014684;6,20E-05;7,42E-07;9,89E-06;0,000539877;-0,002278243;-8,47E-05;-0,000107231;-3,41E-07;3,48E-05;0,001086458;-0,004785449;-1,94E-05;-6,98E-05;-7,45E-08;7,89E-05
203;0,0003204;-0,000355533;7,92E-05;4,95E-06;1,07E-06;2,35E-05;0,0003204;-0,000355533;7,92E-05;4,95E-06;1,07E-06;2,35E-05;0,000239781;-0,002028351;0,000143872;6,14E-05;1,02E-06;6,42E-06;0,000559047;-0,0021769;-8,34E-05;-0,000110619;-8,83E-07;3,21E-05;0,001126527;-0,00458859;-1,99E-05;-6,98E-05;-8,77E-07;6,86E-05
204;0,000327005;-0,000296807;7,68E-05;3,40E-06;2,34E-06;2,14E-05;0,000327005;-0,000296807;7,68E-05;3,40E-06;2,34E-06;2,14E-05;0,000250634;-0,002010287;0,000140422;6,24E-05;-1,95E-07;8,07E-06;0,000575495;-0,00209631;-8,11E-05;-0,000109766;-1,62E-06;2,97E-05;0,001159855;-0,004434898;-1,84E-05;-6,43E-05;-5,17E-06;6,58E-05
205;0,000336604;-0,000225746;7,20E-05;1,57E-06;2,62E-06;1,56E-05;0,000336604;-0,000225746;7,20E-05;1,57E-06;2,62E-06;1,56E-05;0,000262639;-0,0019252;0,000134682;6,14E-05;4,74E-06;3,62E-05;0,00059551;-0,001950579;-7,56E-05;-0,000105989;-2,97E-06;4,61E-05;0,001200927;-0,004135985;-1,37E-05;-5,73E-05;-1,08E-06;0,00011082
206;0,000344161;-0,000195589;6,69E-05;1,06E-06;2,05E-06;7,48E-06;0,000344161;-0,000195589;6,69E-05;1,06E-06;2,05E-06;7,48E-06;0,000276487;-0,001845058;0,000129161;5,98E-05;2,64E-06;2,41E-05;0,000616149;-0,001856149;-6,94E-05;-0,000102274;-2,14E-06;2,58E-05;0,001242751;-0,00393107;-7,90E-06;-5,37E-05;-1,98E-06;6,57E-05
207;0,000351502;-0,000180816;6,16E-05;1,22E-06;2,13E-06;2,40E-06;0,000351502;-0,000180816;6,16E-05;1,22E-06;2,13E-06;2,40E-06;0,000289895;-0,001787821;0,000122275;5,98E-05;2,97E-06;1,41E-05;0,000634959;-0,001795607;-6,09E-05;-9,45E-05;-2,71E-06;1,46E-05;0,001282055;-0,003796981;1,32E-07;-4,49E-05;-2,64E-06;3,60E-05
208;0,00035698;-0,000174905;5,59E-05;1,52E-06;2,37E-06;1,61E-06;0,00035698;-0,000174905;5,59E-05;1,52E-06;2,37E-06;1,61E-06;0,000297287;-0,001730798;0,000112808;6,03E-05;3,91E-06;2,41E-05;0,000646087;-0,001736412;-5,37E-05;-9,49E-05;-3,01E-06;2,51E-05;0,001305666;-0,003672538;5,28E-06;-4,56E-05;-2,28E-06;5,89E-05
209;0,000360089;-0,000164916;4,96E-05;1,92E-06;2,66E-06;5,64E-06;0,000360089;-0,000164916;4,96E-05;1,92E-06;2,66E-06;5,64E-06;0,0002975;-0,001612707;0,000100011;5,50E-05;7,30E-06;6,09E-05;0,000649499;-0,0016197;-4,45E-05;-8,78E-05;-6,29E-06;5,84E-05;0,00131189;-0,003424421;9,84E-06;-4,37E-05;-2,76E-06;0,000143561
210;0,000365726;-0,000126296;4,10E-05;1,97E-06;3,28E-06;1,45E-05;0,000365726;-0,000126296;4,10E-05;1,97E-06;3,28E-06;1,45E-05;0,000306942;-0,001305686;8,68E-05;4,30E-05;7,79E-06;9,87E-05;0,000663161;-0,001311645;-3,02E-05;-7,10E-05;-1,00E-05;0,000101958;0,001340097;-0,002765078;2,28E-05;-3,67E-05;-7,51E-06;0,000246086
211;0,000366267;-8,08E-05;3,57E-05;1,08E-06;2,78E-06;2,26E-05;0,000366267;-8,08E-05;3,57E-05;1,08E-06;2,78E-06;2,26E-05;0,000308838;-0,001039961;7,96E-05;3,41E-05;3,74E-06;0,000118929;0,000665536;-0,001031954;-1,80E-05;-5,80E-05;-4,38E-06;0,000127321;0,001344637;-0,002171129;3,59E-05;-2,94E-05;-4,86E-06;0,00030641
212;0,000369354;-1,69E-05;2,84E-05;-4,55E-07;3,32E-06;1,92E-05;0,000369354;-1,69E-05;2,84E-05;-4,55E-07;3,32E-06;1,92E-05;0,000315431;-0,000677211;6,94E-05;2,31E-05;5,49E-06;0,000120355;0,000672878;-0,000643817;-2,57E-06;-3,91E-05;-4,10E-06;0,000128362;0,001360944;-0,001353861;5,24E-05;-1,68E-05;-2,64E-06;0,000305069
213;0,00037353;1,12E-05;2,16E-05;-1,67E-06;5,06E-06;5,79E-06;0,00037353;1,12E-05;2,16E-05;-1,67E-06;5,06E-06;5,79E-06;0,000321224;-0,000417264;5,67E-05;1,17E-05;1,47E-05;0,000114533;0,000682258;-0,000383262;7,99E-06;-2,52E-05;-8,51E-06;0,000106433;0,001379863;-0,00080391;5,86E-05;-1,28E-05;2,94E-06;0,000258065
214;0,000102326;-0,000405092;3,57E-05;1,73E-05;-6,59E-06;-0,000107674;0,000102326;-0,000405092;3,57E-05;1,73E-05;-6,59E-06;-0,000107674;4,62E-05;8,03E-06;1,36E-05;-4,71E-12;-1,32E-06;-4,37E-06;0,000149841;-0,000399939;4,02E-05;1,73E-05;-5,93E-06;-0,000114198;0,00030026;-0,000805947;7,84E-05;-4,21E-06;-2,35E-06;-0,000257583
215;0,00010801;-0,000655332;3,60E-05;2,78E-05;2,08E-08;-0,000117257;0,00010801;-0,000655332;3,60E-05;2,78E-05;2,08E-08;-0,000117257;5,01E-05;-1,78E-05;1,62E-05;5,58E-08;-1,24E-06;-1,84E-05;0,000159546;-0,000680157;3,75E-05;2,78E-05;1,37E-06;-0,000137294;0,000319518;-0,001361616;7,85E-05;-5,81E-06;-1,93E-07;-0,000308803
216;0,000112743;-0,00100666;3,41E-05;3,76E-05;4,58E-07;-0,000114371;0,000112743;-0,00100666;3,41E-05;3,76E-05;4,58E-07;-0,000114371;5,25E-05;-7,96E-05;2,03E-05;-1,75E-07;-1,42E-06;-2,21E-05;0,000167099;-0,001097657;2,97E-05;3,75E-05;2,26E-06;-0,000137693;0,000334852;-0,00218787;7,46E-05;-1,15E-05;8,61E-07;-0,000309223
217;0,000114221;-0,001261691;3,38E-05;4,44E-05;-3,23E-06;-9,57E-05;0,000114221;-0,001261691;3,38E-05;4,44E-05;-3,23E-06;-9,57E-05;5,27E-05;-0,000124141;2,44E-05;-4,61E-07;-1,41E-06;-1,44E-05;0,000169134;-0,001399961;2,36E-05;4,42E-05;-1,38E-06;-0,000111065;0,000339413;-0,002784891;7,04E-05;-1,59E-05;2,56E-06;-0,000248683
218;0,000123035;-0,001558384;3,50E-05;5,50E-05;-2,84E-06;-5,86E-05;0,000123035;-0,001558384;3,50E-05;5,50E-05;-2,84E-06;-5,86E-05;5,79E-05;-0,000162827;3,21E-05;-8,21E-07;-1,75E-06;-5,78E-06;0,000183599;-0,001738458;1,43E-05;5,46E-05;-5,23E-07;-6,50E-05;0,000368556;-0,003449601;6,54E-05;-2,10E-05;1,48E-06;-0,000144006
219;0,000123066;-0,001674475;3,86E-05;5,99E-05;-9,12E-07;-2,43E-05;0,000123066;-0,001674475;3,86E-05;5,99E-05;-9,12E-07;-2,43E-05;6,07E-05;-0,00017334;3,83E-05;-8,85E-07;-2,19E-06;-1,79E-06;0,00018673;-0,00186621;9,44E-06;5,94E-05;1,95E-06;-2,64E-05;0,000375158;-0,003699827;6,27E-05;-2,38E-05;1,07E-06;-5,90E-05
220;0,000129681;-0,001731376;4,10E-05;5,70E-05;-9,14E-07;-1,40E-05;0,000129681;-0,001731376;4,10E-05;5,70E-05;-9,14E-07;-1,40E-05;6,58E-05;-0,000179696;4,59E-05;-7,62E-07;-2,40E-06;-2,52E-06;0,000198797;-0,001929948;1,63E-06;5,62E-05;2,27E-06;-1,66E-05;0,000399167;-0,003824622;5,89E-05;-2,69E-05;1,44E-06;-3,64E-05
221;0,000142474;-0,001788171;4,47E-05;6,02E-05;-9,82E-07;-2,38E-05;0,000142474;-0,001788171;4,47E-05;6,02E-05;-9,82E-07;-2,38E-05;7,29E-05;-0,000194805;5,40E-05;-3,76E-07;-2,58E-06;-7,57E-06;0,000219006;-0,002002158;-5,70E-06;5,86E-05;2,37E-06;-3,14E-05;0,000439431;-0,003962975;5,33E-05;-3,26E-05;1,61E-06;-6,81E-05
222;0,000155786;-0,00186528;4,83E-05;6,14E-05;-2,37E-06;-3,48E-05;0,000155786;-0,00186528;4,83E-05;6,14E-05;-2,37E-06;-3,48E-05;8,02E-05;-0,000224644;6,17E-05;5,23E-07;-2,97E-06;-1,53E-05;0,000239836;-0,002109151;-1,21E-05;5,82E-05;1,54E-06;-5,01E-05;0,000481596;-0,00417053;4,80E-05;-3,71E-05;2,67E-06;-0,000111665
223;0,000166841;-0,001949796;5,25E-05;6,26E-05;4,90E-07;-9,05E-06;0,000166841;-0,001949796;5,25E-05;6,26E-05;4,90E-07;-9,05E-06;8,94E-05;-0,00029456;7,23E-05;2,80E-06;-3,13E-06;-2,11E-05;0,000260312;-0,002262561;-2,20E-05;5,53E-05;4,78E-06;-2,97E-05;0,000522675;-0,004474975;4,15E-05;-4,42E-05;3,73E-06;-6,81E-05
224;0,000177198;-0,001969707;5,50E-05;6,22E-05;-8,57E-07;-6,75E-06;0,000177198;-0,001969707;5,50E-05;6,22E-05;-8,57E-07;-6,75E-06;9,57E-05;-0,000352545;7,94E-05;4,74E-06;-2,50E-06;-2,31E-05;0,000277052;-0,002339015;-2,89E-05;5,15E-05;2,34E-06;-2,92E-05;0,000556462;-0,004632256;3,72E-05;-4,90E-05;1,53E-06;-6,90E-05
225;0,000189513;-0,001994637;5,84E-05;5,97E-05;-9,18E-07;-9,64E-06;0,000189513;-0,001994637;5,84E-05;5,97E-05;-9,18E-07;-9,64E-06;0,000103834;-0,000427016;8,75E-05;7,39E-06;-2,50E-06;-2,61E-05;0,000297657;-0,002436428;-3,62E-05;4,43E-05;2,23E-06;-3,51E-05;0,000597361;-0,004831021;3,26E-05;-5,36E-05;1,42E-06;-8,00E-05
226;0,000198372;-0,002012809;6,28E-05;6,19E-05;-7,07E-07;-1,97E-06;0,000198372;-0,002012809;6,28E-05;6,19E-05;-7,07E-07;-1,97E-06;0,000112524;-0,000511267;9,59E-05;1,04E-05;-2,52E-06;-2,96E-05;0,000315315;-0,002536532;-4,24E-05;4,13E-05;2,38E-06;-3,07E-05;0,000632361;-0,005028863;2,74E-05;-6,01E-05;1,53E-06;-6,76E-05
227;0,000202452;-0,001985006;6,48E-05;5,83E-05;1,47E-06;2,24E-05;0,000202452;-0,001985006;6,48E-05;5,83E-05;1,47E-06;2,24E-05;0,000120426;-0,000598855;0,000104047;1,37E-05;-3,57E-06;-3,25E-05;0,000327348;-0,002593514;-5,05E-05;3,22E-05;6,26E-06;-8,96E-06;0,000657274;-0,005141976;2,23E-05;-6,43E-05;2,99E-06;-2,23E-05
228;0,000214562;-0,001888525;6,89E-05;5,27E-05;6,57E-07;2,73E-05;0,000214562;-0,001888525;6,89E-05;5,27E-05;6,57E-07;2,73E-05;0,000131442;-0,000731097;0,000113967;1,87E-05;-3,39E-06;-3,66E-05;0,000350533;-0,002624287;-5,87E-05;1,80E-05;5,48E-06;-7,79E-06;0,000703757;-0,005212526;1,55E-05;-6,84E-05;2,18E-06;-2,10E-05
229;0,000225685;-0,001824885;7,11E-05;5,04E-05;-8,63E-07;2,52E-05;0,000225685;-0,001824885;7,11E-05;5,04E-05;-8,63E-07;2,52E-05;0,00013744;-0,000823649;0,000119594;2,23E-05;-1,93E-06;-3,99E-05;0,000367959;-0,002649945;-6,31E-05;9,80E-06;1,36E-06;-1,34E-05;0,000738562;-0,005272665;1,21E-05;-7,21E-05;1,20E-06;-3,52E-05
230;0,000236061;-0,001736276;7,45E-05;4,76E-05;-6,19E-07;3,39E-05;0,000236061;-0,001736276;7,45E-05;4,76E-05;-6,19E-07;3,39E-05;0,000145668;-0,000958134;0,000125918;2,73E-05;-1,71E-06;-4,92E-05;0,000386808;-0,002690907;-6,67E-05;-1,26E-06;1,44E-06;-1,32E-05;0,000774994;-0,005362063;7,96E-06;-7,44E-05;1,38E-06;-3,11E-05
231;0,000238109;-0,001630963;7,66E-05;4,39E-05;2,08E-06;6,22E-05;0,000238109;-0,001630963;7,66E-05;4,39E-05;2,08E-06;6,22E-05;0,000153312;-0,001081993;0,000130112;3,13E-05;-3,33E-06;-6,30E-05;0,000396256;-0,002702009;-7,00E-05;-1,25E-05;7,95E-06;3,98E-06;0,00079501;-0,005393987;4,81E-06;-7,50E-05;1,95E-06;-6,33E-07
232;0,000249825;-0,001355585;8,04E-05;3,53E-05;2,13E-06;8,05E-05;0,000249825;-0,001355585;8,04E-05;3,53E-05;2,13E-06;8,05E-05;0,000165173;-0,001359494;0,000136374;3,93E-05;-3,77E-06;-8,07E-05;0,000419751;-0,002679077;-7,43E-05;-3,85E-05;9,37E-06;7,57E-06;0,00084215;-0,005394592;-1,16E-06;-7,62E-05;9,88E-07;7,60E-08
233;0,000261612;-0,001078723;8,33E-05;2,81E-05;1,58E-06;6,29E-05;0,000261612;-0,001078723;8,33E-05;2,81E-05;1,58E-06;6,29E-05;0,00017699;-0,00163587;0,000141129;4,86E-05;-3,56E-06;-6,25E-05;0,000442963;-0,002655314;-7,68E-05;-6,36E-05;6,75E-06;4,59E-06;0,000889283;-0,005393567;-4,67E-06;-7,59E-05;7,04E-09;7,29E-07
234;0,000269253;-0,000954607;8,45E-05;2,45E-05;-2,82E-07;4,90E-05;0,000269253;-0,000954607;8,45E-05;2,45E-05;-2,82E-07;4,90E-05;0,000179095;-0,001742072;0,000143822;5,26E-05;-9,61E-07;-3,40E-05;0,000453368;-0,002634474;-7,88E-05;-7,46E-05;6,34E-07;1,41E-05;0,000909372;-0,005361232;-6,93E-06;-7,58E-05;7,84E-07;3,13E-05
