NODES_1;U1_1;U2_1;U3_1;R1_2;R2_2;R3_2;U1_2;U2_2;U3_2;R1_2;R2_2;R3_2;U1_3;U2_3;U3_3;R1_3;R2_3;R3_3;U1_4;U2_4;U3_4;R1_4;R2_4;R3_4;U1_5;U2_5;U3_5;R1_5;R2_5;R3_5
14;0,000369197;-1,29E-05;8,20E-06;2,86E-07;2,13E-06;-1,39E-05;0,000369197;-1,29E-05;8,20E-06;2,86E-07;2,13E-06;-1,39E-05;0,000316753;-8,87E-05;3,48E-05;4,41E-06;7,73E-06;5,56E-05;0,000696579;-0,000127596;4,25E-05;1,05E-06;-9,29E-06;4,02E-05;0,001398721;-0,000241252;9,16E-05;6,90E-06;-6,20E-06;8,97E-05
15;9,51E-05;-8,99E-05;4,17E-05;8,21E-06;-1,67E-06;-4,99E-05;9,51E-05;-8,99E-05;4,17E-05;8,21E-06;-1,67E-06;-4,99E-05;4,50E-05;-1,89E-05;1,29E-05;1,29E-06;6,55E-07;1,63E-05;0,000138529;-0,000102733;5,16E-05;9,32E-06;3,71E-07;-3,60E-05;0,000281347;-0,000224156;0,000100372;1,92E-05;6,07E-06;-9,00E-05
16;0,000367244;-1,25E-05;9,32E-06;9,46E-07;1,35E-06;-1,34E-05;0,000367244;-1,25E-05;9,32E-06;9,46E-07;1,35E-06;-1,34E-05;0,000313724;-8,37E-05;3,87E-05;8,02E-06;7,11E-06;5,30E-05;0,000703886;-0,00012389;4,94E-05;7,44E-06;-1,15E-05;4,09E-05;0,001407973;-0,000231501;0,000103995;1,95E-05;-1,06E-05;8,60E-05
17;9,32E-05;-8,18E-05;4,58E-05;1,19E-05;5,34E-08;-4,75E-05;9,32E-05;-8,18E-05;4,58E-05;1,19E-05;5,34E-08;-4,75E-05;4,45E-05;-1,76E-05;1,43E-05;2,25E-06;2,06E-06;1,59E-05;0,000134915;-9,35E-05;5,68E-05;1,36E-05;2,97E-06;-3,37E-05;0,000276549;-0,000206226;0,000112227;3,11E-05;1,24E-05;-9,12E-05
18;0,000365444;-1,16E-05;1,04E-05;1,61E-06;3,77E-07;-1,24E-05;0,000365444;-1,16E-05;1,04E-05;1,61E-06;3,77E-07;-1,24E-05;0,000310504;-7,60E-05;4,24E-05;1,14E-05;5,92E-06;5,12E-05;0,000710701;-0,00011508;5,62E-05;1,38E-05;-1,48E-05;4,37E-05;0,001416726;-0,000213097;0,000116281;3,19E-05;-1,76E-05;8,65E-05
19;8,83E-05;-7,10E-05;4,97E-05;1,53E-05;3,08E-06;-4,41E-05;8,83E-05;-7,10E-05;4,97E-05;1,53E-05;3,08E-06;-4,41E-05;4,24E-05;-1,55E-05;1,58E-05;3,24E-06;4,11E-06;1,56E-05;0,000127034;-8,12E-05;6,18E-05;1,77E-05;7,24E-06;-3,01E-05;0,000262632;-0,000179523;0,00012362;4,23E-05;2,27E-05;-8,89E-05
20;0,000364846;-1,02E-05;1,15E-05;2,27E-06;-9,70E-07;-1,17E-05;0,000364846;-1,02E-05;1,15E-05;2,27E-06;-9,70E-07;-1,17E-05;0,00030982;-6,58E-05;4,58E-05;1,44E-05;3,76E-06;4,83E-05;0,0007227;-0,00010051;6,29E-05;1,99E-05;-2,02E-05;4,50E-05;0,001435059;-0,000185643;0,000128155;4,36E-05;-2,88E-05;8,36E-05
21;8,16E-05;-5,78E-05;5,35E-05;1,86E-05;7,57E-06;-4,18E-05;8,16E-05;-5,78E-05;5,35E-05;1,86E-05;7,57E-06;-4,18E-05;3,92E-05;-1,28E-05;1,73E-05;4,28E-06;6,84E-06;1,47E-05;0,000116609;-6,60E-05;6,67E-05;2,16E-05;1,35E-05;-2,80E-05;0,000243583;-0,000145907;0,00013451;5,28E-05;3,74E-05;-9,03E-05
22;0,000364957;-8,40E-06;1,26E-05;2,95E-06;-2,73E-06;-1,05E-05;0,000364957;-8,40E-06;1,26E-05;2,95E-06;-2,73E-06;-1,05E-05;0,000310417;-5,34E-05;4,91E-05;1,74E-05;5,17E-07;4,63E-05;0,000737638;-8,18E-05;6,92E-05;2,54E-05;-2,79E-05;4,84E-05;0,001458977;-0,000150984;0,000139575;5,45E-05;-4,49E-05;8,49E-05
23;8,31E-05;-4,26E-05;5,72E-05;2,19E-05;1,21E-05;-4,97E-05;8,31E-05;-4,26E-05;5,72E-05;2,19E-05;1,21E-05;-4,97E-05;3,94E-05;-9,47E-06;1,88E-05;5,39E-06;9,54E-06;8,91E-06;0,000117304;-4,85E-05;7,15E-05;2,56E-05;1,98E-05;-3,98E-05;0,000250351;-0,000107148;0,000144884;6,28E-05;5,23E-05;-0,000127356
24;0,000362741;-6,20E-06;1,36E-05;3,67E-06;-4,37E-06;-6,09E-06;0,000362741;-6,20E-06;1,36E-05;3,67E-06;-4,37E-06;-6,09E-06;0,000304133;-3,94E-05;5,23E-05;2,02E-05;-2,62E-06;5,24E-05;0,000737042;-6,00E-05;7,52E-05;3,04E-05;-3,57E-05;7,04E-05;0,001455905;-0,000110934;0,000150496;6,50E-05;-6,13E-05;0,000123825
25;7,35E-32;-1,53E-31;6,39E-05;2,83E-05;1,07E-05;-2,43E-06;7,35E-32;-1,53E-31;6,39E-05;2,83E-05;1,07E-05;-2,43E-06;5,61E-32;-5,49E-32;2,17E-05;7,84E-06;4,48E-06;2,57E-05;-1,11E-32;-2,57E-31;7,99E-05;3,31E-05;1,86E-05;2,18E-05;-6,93E-32;-6,13E-31;0,000162171;7,94E-05;4,88E-05;1,52E-05
26;0,000384498;-5,48E-32;1,56E-05;5,30E-06;8,63E-09;-1,70E-05;0,000384498;-5,48E-32;1,56E-05;5,30E-06;8,63E-09;-1,70E-05;0,000359604;-1,53E-31;5,80E-05;2,57E-05;-1,71E-06;1,23E-05;0,000894244;-3,52E-31;8,46E-05;3,80E-05;-3,37E-05;1,96E-06;0,001730496;-6,13E-31;0,000168823;8,26E-05;-5,70E-05;-2,64E-05
27;0,000444705;-9,03E-32;-7,92E-33;-4,56E-06;1,03E-05;-3,23E-05;0,000444705;-9,03E-32;-7,92E-33;-4,56E-06;1,03E-05;-3,23E-05;0,000471705;-2,84E-31;-6,04E-33;-2,81E-05;2,55E-05;2,44E-05;0,000779949;-2,35E-31;1,20E-33;-3,73E-05;7,21E-06;-1,53E-05;0,001638362;-5,69E-31;7,47E-33;-8,59E-05;3,60E-05;-4,23E-06
28;-7,35E-32;-2,83E-31;7,92E-33;-3,07E-05;-1,82E-05;-3,39E-05;-7,35E-32;-2,83E-31;7,92E-33;-3,07E-05;-1,82E-05;-3,39E-05;-5,61E-32;-9,06E-32;6,04E-33;-7,41E-06;-7,64E-06;2,42E-05;1,11E-32;-3,30E-31;-1,20E-33;-3,62E-05;-2,10E-05;-8,57E-06;6,93E-32;-5,68E-31;-7,47E-33;-8,24E-05;-4,21E-05;1,50E-05
29;0,000392515;1,64E-05;2,28E-05;-1,35E-06;7,28E-06;9,15E-06;0,000392515;1,64E-05;2,28E-05;-1,35E-06;7,28E-06;9,15E-06;0,000351972;-0,000420611;4,89E-05;-5,79E-06;1,10E-05;0,00013438;0,000684856;-0,000277528;4,48E-06;-3,61E-05;-5,66E-06;9,36E-05;0,001405226;-0,000706711;4,77E-05;-4,60E-05;4,94E-06;0,000269049
30;0,000383542;-1,66E-05;2,88E-05;-3,32E-07;2,89E-06;2,05E-05;0,000383542;-1,66E-05;2,88E-05;-3,32E-07;2,89E-06;2,05E-05;0,00033442;-0,000713719;5,96E-05;8,06E-07;3,55E-06;0,000131793;0,000668095;-0,000500209;-8,32E-06;-5,16E-05;-3,61E-06;0,00010634;0,001366009;-0,001251113;3,73E-05;-5,68E-05;-3,93E-06;0,000289386
31;0,000376355;-8,37E-05;3,46E-05;6,92E-07;2,35E-06;2,38E-05;0,000376355;-8,37E-05;3,46E-05;6,92E-07;2,35E-06;2,38E-05;0,000320687;-0,001104828;6,95E-05;8,88E-06;2,75E-06;0,000126852;0,000654849;-0,000821141;-2,43E-05;-7,28E-05;-3,96E-06;0,000104248;0,001334962;-0,002018001;1,93E-05;-7,53E-05;-5,34E-06;0,00028437
32;0,000375479;-0,000131573;4,00E-05;1,38E-06;2,98E-06;1,52E-05;0,000375479;-0,000131573;4,00E-05;1,38E-06;2,98E-06;1,52E-05;0,000317626;-0,00138943;7,09E-05;1,54E-05;3,85E-06;0,000107133;0,000651224;-0,001050842;-4,07E-05;-8,80E-05;-1,22E-05;8,31E-05;0,001327771;-0,002573075;-4,46E-06;-8,82E-05;-1,46E-05;0,000231552
33;0,000370551;-0,000168436;4,80E-05;2,91E-07;4,00E-06;4,52E-06;0,000370551;-0,000168436;4,80E-05;2,91E-07;4,00E-06;4,52E-06;0,000310204;-0,001733329;8,35E-05;2,78E-05;5,86E-06;7,11E-05;0,000642119;-0,001306561;-5,55E-05;-0,0001047;-5,58E-06;4,92E-05;0,001307898;-0,003210948;-1,92E-05;-9,57E-05;-2,62E-06;0,000143842
34;0,000366133;-0,000177267;5,44E-05;2,62E-07;2,10E-06;1,88E-06;0,000366133;-0,000177267;5,44E-05;2,62E-07;2,10E-06;1,88E-06;0,00030757;-0,00187814;0,000100746;3,44E-05;3,66E-06;3,36E-05;0,000637008;-0,001412193;-6,24E-05;-0,000108973;-2,90E-06;2,63E-05;0,001297717;-0,003475368;-1,68E-05;-9,27E-05;-2,41E-06;7,21E-05
35;0,00035892;-0,000182881;5,90E-05;1,38E-07;1,94E-06;1,89E-06;0,00035892;-0,000182881;5,90E-05;1,38E-07;1,94E-06;1,89E-06;0,000299977;-0,001951942;0,000114305;4,76E-05;3,47E-06;1,60E-05;0,000627231;-0,00147053;-7,00E-05;-0,000106928;-2,08E-06;1,25E-05;0,00127589;-0,003618282;-1,92E-05;-7,45E-05;-1,19E-06;3,64E-05
36;0,00035142;-0,000197077;6,49E-05;-2,14E-07;2,22E-06;7,51E-06;0,00035142;-0,000197077;6,49E-05;-2,14E-07;2,22E-06;7,51E-06;0,000286319;-0,001996759;0,000120014;3,85E-05;1,90E-06;1,32E-05;0,000611166;-0,001511815;-7,76E-05;-0,000114821;-1,87E-06;1,45E-05;0,001240368;-0,00372066;-2,72E-05;-9,41E-05;-2,11E-06;3,97E-05
37;0,000344676;-0,000228499;7,08E-05;2,39E-07;2,59E-06;1,66E-05;0,000344676;-0,000228499;7,08E-05;2,39E-07;2,59E-06;1,66E-05;0,000270113;-0,002068661;0,000120429;3,67E-05;-8,46E-07;4,26E-05;0,00059291;-0,001585459;-8,43E-05;-0,000120129;-5,07E-06;4,21E-05;0,001200559;-0,003892828;-3,79E-05;-0,000103287;-9,68E-06;0,000111065
38;0,000333341;-0,000304968;7,48E-05;1,59E-06;2,27E-06;2,28E-05;0,000333341;-0,000304968;7,48E-05;1,59E-06;2,27E-06;2,28E-05;0,000254796;-0,002156416;0,000125698;3,73E-05;3,64E-06;3,53E-06;0,000572489;-0,001719136;-9,09E-05;-0,000124438;-5,00E-07;2,71E-05;0,001156901;-0,004171591;-4,47E-05;-0,000111555;4,79E-07;5,35E-05
39;0,000324438;-0,000368497;7,66E-05;3,43E-06;5,48E-07;2,59E-05;0,000324438;-0,000368497;7,66E-05;3,43E-06;5,48E-07;2,59E-05;0,000241541;-0,002184264;0,000133429;3,96E-05;1,44E-06;1,75E-05;0,000555389;-0,00180547;-9,28E-05;-0,000123139;-1,08E-06;3,86E-05;0,00112151;-0,004331158;-4,21E-05;-0,000110879;-4,88E-07;8,42E-05
40;0,00031475;-0,000451245;7,75E-05;5,53E-06;5,18E-07;2,89E-05;0,00031475;-0,000451245;7,75E-05;5,53E-06;5,18E-07;2,89E-05;0,000229048;-0,002221892;0,000138529;4,89E-05;3,74E-08;7,67E-06;0,000538824;-0,001915234;-9,47E-05;-0,000118521;-7,55E-07;3,40E-05;0,001086381;-0,004537147;-4,08E-05;-9,94E-05;-9,08E-07;7,05E-05
41;0,000305756;-0,000544388;7,97E-05;7,87E-06;8,07E-07;3,28E-05;0,000305756;-0,000544388;7,97E-05;7,87E-06;8,07E-07;3,28E-05;0,000222093;-0,002223335;0,000133969;3,59E-05;3,04E-07;-7,24E-06;0,000524881;-0,002006124;-9,69E-05;-0,000122305;5,14E-07;2,60E-05;0,00105744;-0,00469483;-4,71E-05;-0,000123657;1,39E-06;4,69E-05
42;0,00029854;-0,000643223;8,24E-05;1,04E-05;2,50E-06;3,70E-05;0,00029854;-0,000643223;8,24E-05;1,04E-05;2,50E-06;3,70E-05;0,000213625;-0,002166522;0,000130261;3,11E-05;1,44E-06;-3,44E-05;0,000510901;-0,002069144;-9,53E-05;-0,000119863;4,47E-06;1,81E-05;0,001027908;-0,004768232;-4,86E-05;-0,00013198;4,46E-06;9,39E-06
43;0,000284991;-0,000791434;8,38E-05;1,47E-05;2,53E-06;4,11E-05;0,000284991;-0,000791434;8,38E-05;1,47E-05;2,53E-06;4,11E-05;0,000200756;-0,002038731;0,000127496;2,14E-05;-7,41E-07;-3,08E-05;0,000488246;-0,002143579;-9,50E-05;-0,000111904;4,64E-06;2,26E-05;0,00098208;-0,004814105;-4,88E-05;-0,000142201;2,35E-06;2,17E-05
44;0,00027825;-0,000895903;8,40E-05;1,79E-05;-4,53E-07;4,61E-05;0,00027825;-0,000895903;8,40E-05;1,79E-05;-4,53E-07;4,61E-05;0,000187108;-0,001973319;0,000128308;2,06E-05;-9,39E-07;-2,47E-05;0,000472211;-0,002207895;-9,30E-05;-0,00010449;-4,67E-07;3,09E-05;0,000947716;-0,004882493;-4,41E-05;-0,000140959;1,31E-08;4,14E-05
45;0,000264511;-0,001049742;8,24E-05;2,26E-05;-1,16E-06;5,58E-05;0,000264511;-0,001049742;8,24E-05;2,26E-05;-1,16E-06;5,58E-05;0,000181071;-0,001875602;0,000124973;1,86E-05;3,02E-07;-3,98E-05;0,000452925;-0,002299156;-9,24E-05;-9,28E-05;2,85E-07;3,02E-05;0,000912;-0,004977497;-4,14E-05;-0,000138595;2,22E-06;3,03E-05
46;0,000257527;-0,001180654;8,00E-05;2,37E-05;-3,26E-06;6,18E-05;0,000257527;-0,001180654;8,00E-05;2,37E-05;-3,26E-06;6,18E-05;0,000177769;-0,001754307;0,000123305;1,85E-05;3,49E-06;-7,07E-05;0,000443119;-0,002355239;-8,95E-05;-8,31E-05;5,44E-06;2,02E-05;0,000892114;-0,004997817;-3,88E-05;-0,000137265;3,23E-06;-1,21E-05
47;0,000242191;-0,001446848;6,86E-05;1,49E-05;-8,14E-06;7,82E-05;0,000242191;-0,001446848;6,86E-05;1,49E-05;-8,14E-06;7,82E-05;0,000167114;-0,0014662;0,000124421;1,87E-05;6,45E-06;-7,92E-05;0,000419226;-0,002449552;-9,32E-05;-7,05E-05;3,39E-06;3,15E-05;0,00084519;-0,004973033;-3,93E-05;-0,000149618;1,03E-06;5,38E-07
